date,city,emd,readPop,workPop,visitPop
20170100,제주시,한림읍,20434,1522,11107
20170200,제주시,한림읍,20396,1633,10262
20170300,제주시,한림읍,20180,1714,12530
20170400,제주시,한림읍,20588,2302,13461
20170500,제주시,한림읍,20740,2168,14487
20170600,제주시,한림읍,20749,2481,13217
20170700,제주시,한림읍,20555,2272,14875
20170800,제주시,한림읍,21024,2020,15536
20170900,제주시,한림읍,20578,2004,13571
20171000,제주시,한림읍,20349,1969,14850
20171100,제주시,한림읍,21479,2166,11185
20171200,제주시,한림읍,21581,2231,9712
20180100,제주시,한림읍,22634,1785,11135
20180200,제주시,한림읍,22722,1557,9482
20180300,제주시,한림읍,21958,1599,12048
20180400,제주시,한림읍,22207,2405,13333
20180500,제주시,한림읍,22078,2450,13530
20180600,제주시,한림읍,22543,2430,13379
20180700,제주시,한림읍,22687,2375,14133
20180800,제주시,한림읍,23107,2145,15438
20180900,제주시,한림읍,22864,2006,12605
20181000,제주시,한림읍,22765,2290,12257
20181100,제주시,한림읍,22820,2415,10407
20181200,제주시,한림읍,23021,2248,9547
20190100,제주시,한림읍,23176,1836,11011
20190200,제주시,한림읍,23457,1846,11293
20190300,제주시,한림읍,23160,1750,12025
20190400,제주시,한림읍,23128,2588,12486
20190500,제주시,한림읍,22994,2676,13253
20190600,제주시,한림읍,23098,2760,12490
20190700,제주시,한림읍,23778,2467,13549
20190800,제주시,한림읍,24112,2224,15237
20190900,제주시,한림읍,23660,2292,11296
20191000,제주시,한림읍,23438,2465,12503
20191100,제주시,한림읍,23542,2678,10880
20191200,제주시,한림읍,23808,2207,10185
20170100,제주시,애월읍,35750,3458,24806
20170200,제주시,애월읍,35905,3251,24220
20170300,제주시,애월읍,34860,3619,25495
20170400,제주시,애월읍,35681,4510,29429
20170500,제주시,애월읍,36276,4394,29863
20170600,제주시,애월읍,36479,4481,26719
20170700,제주시,애월읍,36365,4160,30294
20170800,제주시,애월읍,37038,4161,33286
20170900,제주시,애월읍,36782,4205,30709
20171000,제주시,애월읍,36828,3867,31351
20171100,제주시,애월읍,38011,4261,27344
20171200,제주시,애월읍,39055,4353,25815
20180100,제주시,애월읍,39817,3814,26684
20180200,제주시,애월읍,40099,3249,24940
20180300,제주시,애월읍,39114,3475,28515
20180400,제주시,애월읍,39620,4536,28641
20180500,제주시,애월읍,38993,4469,28165
20180600,제주시,애월읍,39087,4209,28968
20180700,제주시,애월읍,38614,4127,30295
20180800,제주시,애월읍,39436,4237,32304
20180900,제주시,애월읍,38535,3845,27555
20181000,제주시,애월읍,38681,4215,27504
20181100,제주시,애월읍,39008,4501,25961
20181200,제주시,애월읍,40018,4158,24373
20190100,제주시,애월읍,40517,3744,26892
20190200,제주시,애월읍,39882,3453,26326
20190300,제주시,애월읍,39284,3653,28213
20190400,제주시,애월읍,40154,4656,27793
20190500,제주시,애월읍,39937,4517,28539
20190600,제주시,애월읍,40264,4377,27316
20190700,제주시,애월읍,40297,4148,29527
20190800,제주시,애월읍,40536,4086,32354
20190900,제주시,애월읍,39561,3791,25945
20191000,제주시,애월읍,39768,4178,28188
20191100,제주시,애월읍,40613,4318,27136
20191200,제주시,애월읍,41094,4147,26259
20170100,제주시,구좌읍,13655,1212,9815
20170200,제주시,구좌읍,13806,1162,9284
20170300,제주시,구좌읍,13509,1265,10430
20170400,제주시,구좌읍,13770,1885,11496
20170500,제주시,구좌읍,13809,1755,12351
20170600,제주시,구좌읍,13689,1822,11305
20170700,제주시,구좌읍,13751,1786,12710
20170800,제주시,구좌읍,14016,1637,13690
20170900,제주시,구좌읍,13735,1810,11652
20171000,제주시,구좌읍,13713,1680,12130
20171100,제주시,구좌읍,13747,1774,8933
20171200,제주시,구좌읍,14011,1670,8218
20180100,제주시,구좌읍,14335,1351,9139
20180200,제주시,구좌읍,14306,1142,8836
20180300,제주시,구좌읍,13941,1273,9818
20180400,제주시,구좌읍,14285,2043,10989
20180500,제주시,구좌읍,14600,1901,11228
20180600,제주시,구좌읍,14620,2006,10956
20180700,제주시,구좌읍,14605,1806,12175
20180800,제주시,구좌읍,15035,1718,13163
20180900,제주시,구좌읍,14662,1670,10828
20181000,제주시,구좌읍,14545,1901,9968
20181100,제주시,구좌읍,14516,1915,8335
20181200,제주시,구좌읍,14825,1701,8020
20190100,제주시,구좌읍,15059,1388,9087
20190200,제주시,구좌읍,14850,1311,9994
20190300,제주시,구좌읍,14717,1263,9922
20190400,제주시,구좌읍,15040,2192,10278
20190500,제주시,구좌읍,15204,2109,10693
20190600,제주시,구좌읍,15299,2009,10827
20190700,제주시,구좌읍,15433,1754,11929
20190800,제주시,구좌읍,15470,1646,13464
20190900,제주시,구좌읍,14921,1745,9805
20191000,제주시,구좌읍,14899,1800,10186
20191100,제주시,구좌읍,15067,1802,8978
20191200,제주시,구좌읍,15156,1722,8897
20170100,제주시,조천읍,20311,2196,15505
20170200,제주시,조천읍,20745,2168,15194
20170300,제주시,조천읍,20524,2249,14891
20170400,제주시,조천읍,20557,2717,17389
20170500,제주시,조천읍,20785,2645,18403
20170600,제주시,조천읍,20652,2708,16470
20170700,제주시,조천읍,21066,2648,18517
20170800,제주시,조천읍,21519,2440,19086
20170900,제주시,조천읍,20517,2495,16467
20171000,제주시,조천읍,20979,2295,18427
20171100,제주시,조천읍,21328,2437,15144
20171200,제주시,조천읍,21618,2471,13536
20180100,제주시,조천읍,22135,2286,14336
20180200,제주시,조천읍,22170,1944,12668
20180300,제주시,조천읍,21238,2075,14205
20180400,제주시,조천읍,21498,2573,16595
20180500,제주시,조천읍,21872,2691,16910
20180600,제주시,조천읍,22587,2619,16326
20180700,제주시,조천읍,22614,2544,17053
20180800,제주시,조천읍,22908,2566,18470
20180900,제주시,조천읍,22659,2217,15741
20181000,제주시,조천읍,22851,2455,16185
20181100,제주시,조천읍,22696,2475,14696
20181200,제주시,조천읍,22864,2351,12571
20190100,제주시,조천읍,22615,2155,14705
20190200,제주시,조천읍,22432,2077,14840
20190300,제주시,조천읍,22177,2103,15004
20190400,제주시,조천읍,22613,2670,16459
20190500,제주시,조천읍,23029,2633,17505
20190600,제주시,조천읍,23276,2594,16746
20190700,제주시,조천읍,23436,2640,18249
20190800,제주시,조천읍,23538,2530,19458
20190900,제주시,조천읍,23002,2305,14682
20191000,제주시,조천읍,22871,2532,17298
20191100,제주시,조천읍,23552,2744,16627
20191200,제주시,조천읍,23728,2755,15832
20170100,제주시,한경면,6166,493,3588
20170200,제주시,한경면,6214,497,3087
20170300,제주시,한경면,5991,495,3581
20170400,제주시,한경면,5957,554,3849
20170500,제주시,한경면,5986,541,4124
20170600,제주시,한경면,5921,585,3727
20170700,제주시,한경면,5827,540,3915
20170800,제주시,한경면,6044,602,4420
20170900,제주시,한경면,6030,575,4088
20171000,제주시,한경면,5993,581,4934
20171100,제주시,한경면,6354,515,3709
20171200,제주시,한경면,6586,539,3452
20180100,제주시,한경면,6986,487,3685
20180200,제주시,한경면,7073,478,3631
20180300,제주시,한경면,6962,539,3925
20180400,제주시,한경면,7108,699,4353
20180500,제주시,한경면,7068,663,4033
20180600,제주시,한경면,6960,675,4233
20180700,제주시,한경면,6942,627,4324
20180800,제주시,한경면,6997,610,4738
20180900,제주시,한경면,7009,556,4680
20181000,제주시,한경면,7058,694,3970
20181100,제주시,한경면,7167,695,3641
20181200,제주시,한경면,7252,644,3406
20190100,제주시,한경면,7302,587,3948
20190200,제주시,한경면,7275,559,4086
20190300,제주시,한경면,7233,602,3930
20190400,제주시,한경면,7311,717,4331
20190500,제주시,한경면,7331,759,4417
